Generation;AvgFitness;BestGenFitness;BestEverFitness;BestEverHH;BestEverOverlaps;MutationRate
130;1,105253;8,100000;9,100000;9;0;0,077200
131;1,254555;7,100000;9,100000;9;0;0,076640
132;1,134196;7,100000;9,100000;9;0;0,076080
133;1,148547;6,100000;9,100000;9;0;0,075520
134;1,257179;7,100000;9,100000;9;0;0,074960
135;1,453360;8,100000;9,100000;9;0;0,074400
136;1,420247;8,100000;9,100000;9;0;0,073840
137;1,329479;7,100000;9,100000;9;0;0,073280
138;1,401798;8,100000;9,100000;9;0;0,072720
139;1,226360;8,100000;9,100000;9;0;0,072160
140;1,573192;7,100000;9,100000;9;0;0,071600
141;1,406859;8,100000;9,100000;9;0;0,071040
142;1,712502;8,100000;9,100000;9;0;0,070480
143;1,489276;8,100000;9,100000;9;0;0,069920
144;1,193743;7,100000;9,100000;9;0;0,069360
145;1,245593;7,100000;9,100000;9;0;0,068800
146;1,451589;7,100000;9,100000;9;0;0,068240
147;1,521257;8,100000;9,100000;9;0;0,067680
148;1,587040;8,100000;9,100000;9;0;0,067120
149;1,567968;8,100000;9,100000;9;0;0,066560
150;1,833091;8,100000;9,100000;9;0;0,066000
151;1,487522;8,100000;9,100000;9;0;0,065440
152;1,697296;8,100000;9,100000;9;0;0,064880
153;1,740519;8,100000;9,100000;9;0;0,064320
154;1,998867;8,100000;9,100000;9;0;0,063760
155;2,312214;8,100000;9,100000;9;0;0,063200
156;1,797438;8,100000;9,100000;9;0;0,062640
157;1,654447;8,100000;9,100000;9;0;0,062080
158;1,958741;8,100000;9,100000;9;0;0,061520
159;1,963350;8,100000;9,100000;9;0;0,060960
160;2,185832;8,100000;9,100000;9;0;0,060400
161;1,762993;8,100000;9,100000;9;0;0,059840
162;2,087772;8,100000;9,100000;9;0;0,059280
163;2,019116;8,100000;9,100000;9;0;0,058720
164;2,226045;8,100000;9,100000;9;0;0,058160
165;2,086603;8,100000;9,100000;9;0;0,057600
166;1,798998;8,100000;9,100000;9;0;0,057040
167;1,783706;8,100000;9,100000;9;0;0,056480
168;1,772227;8,100000;9,100000;9;0;0,055920
169;2,168712;8,100000;9,100000;9;0;0,055360
170;1,954478;8,100000;9,100000;9;0;0,054800
171;2,086336;8,100000;9,100000;9;0;0,054240
172;2,202993;8,100000;9,100000;9;0;0,053680
173;2,106645;8,100000;9,100000;9;0;0,053120
174;2,535016;9,100000;9,100000;9;0;0,052560
175;2,531023;9,100000;9,100000;9;0;0,052000
176;2,474928;9,100000;9,100000;9;0;0,051440
177;2,428006;9,100000;9,100000;9;0;0,050880
178;2,655023;9,100000;9,100000;9;0;0,050320
179;2,814894;9,100000;9,100000;9;0;0,049760
180;2,485389;9,100000;9,100000;9;0;0,049200
181;2,608257;9,100000;9,100000;9;0;0,048640
182;2,723090;9,100000;9,100000;9;0;0,048080
183;2,688352;9,100000;9,100000;9;0;0,047520
184;3,201798;9,100000;9,100000;9;0;0,046960
185;3,398608;9,100000;9,100000;9;0;0,046400
186;3,089845;9,100000;9,100000;9;0;0,045840
187;2,833308;10,100000;10,100000;10;0;0,045280
188;2,989786;10,100000;10,100000;10;0;0,044720
189;3,465961;10,100000;10,100000;10;0;0,044160
190;2,993878;9,100000;10,100000;10;0;0,043600
191;3,015513;9,100000;10,100000;10;0;0,043040
192;3,406171;10,100000;10,100000;10;0;0,042480
193;3,423987;9,100000;10,100000;10;0;0,041920
194;3,513779;10,100000;10,100000;10;0;0,041360
195;3,601334;10,100000;10,100000;10;0;0,040800
196;3,672417;10,100000;10,100000;10;0;0,040240
197;3,698631;10,100000;10,100000;10;0;0,039680
198;3,505373;9,100000;10,100000;10;0;0,039120
199;3,362989;9,100000;10,100000;10;0;0,038560
200;3,916480;10,100000;10,100000;10;0;0,038000
201;3,980241;10,100000;10,100000;10;0;0,037440
202;3,750688;10,100000;10,100000;10;0;0,036880
203;3,983549;11,100000;11,100000;11;0;0,036320
204;3,933724;11,100000;11,100000;11;0;0,035760
205;4,178323;11,100000;11,100000;11;0;0,035200
206;3,735009;11,100000;11,100000;11;0;0,034640
207;4,307196;11,100000;11,100000;11;0;0,034080
208;4,160083;11,100000;11,100000;11;0;0,033520
209;4,382527;11,100000;11,100000;11;0;0,032960
210;3,951057;11,100000;11,100000;11;0;0,032400
211;3,842657;10,100000;11,100000;11;0;0,031840
212;3,803024;11,100000;11,100000;11;0;0,031280
213;4,612004;11,100000;11,100000;11;0;0,030720
214;4,262204;11,100000;11,100000;11;0;0,030160
215;4,522914;11,100000;11,100000;11;0;0,029600
216;4,349864;11,100000;11,100000;11;0;0,029040
217;4,336041;11,100000;11,100000;11;0;0,028480
218;4,319134;11,100000;11,100000;11;0;0,027920
219;4,826451;11,100000;11,100000;11;0;0,027360
220;4,747670;11,100000;11,100000;11;0;0,026800
221;4,354893;11,100000;11,100000;11;0;0,026240
222;4,977327;11,100000;11,100000;11;0;0,025680
223;4,891873;11,100000;11,100000;11;0;0,025120
224;5,057194;11,100000;11,100000;11;0;0,024560
225;5,497489;11,100000;11,100000;11;0;0,024000
226;5,373798;11,100000;11,100000;11;0;0,023440
227;5,430238;11,100000;11,100000;11;0;0,022880
228;6,036902;11,100000;11,100000;11;0;0,022320
229;5,541041;11,100000;11,100000;11;0;0,021760
230;6,079806;11,100000;11,100000;11;0;0,021200
231;6,023241;11,100000;11,100000;11;0;0,020640
232;5,657310;11,100000;11,100000;11;0;0,020080
233;6,360724;11,100000;11,100000;11;0;0,019520
234;6,872446;11,100000;11,100000;11;0;0,018960
235;6,674799;11,100000;11,100000;11;0;0,018400
236;6,853643;11,100000;11,100000;11;0;0,017840
237;6,409446;11,100000;11,100000;11;0;0,017280
238;7,055450;11,100000;11,100000;11;0;0,016720
239;6,990532;11,100000;11,100000;11;0;0,016160
240;6,826407;11,100000;11,100000;11;0;0,015600
241;7,876835;11,100000;11,100000;11;0;0,015040
242;7,319947;11,100000;11,100000;11;0;0,014480
243;7,493947;11,100000;11,100000;11;0;0,013920
244;7,585108;11,100000;11,100000;11;0;0,013360
245;7,898567;11,100000;11,100000;11;0;0,012800
246;7,764976;11,100000;11,100000;11;0;0,012240
247;7,675113;11,100000;11,100000;11;0;0,011680
248;7,853543;11,100000;11,100000;11;0;0,011120
249;7,532949;11,100000;11,100000;11;0;0,010560
250;8,291642;11,100000;11,100000;11;0;0,010000
